Country,Carrier,Technology,Year,Efficiency,OvernightCapitalCost,FixedCost,VariableCost,FuelCost
VNM,battery,lithium-ion,2050,1,157000,155,1.84,0
VNM,bioenergy,biogas,2023,0.3,2900000,100800,0.11,0
VNM,bioenergy,biogas,2030,0.3,2700000,92700,0.1,0
VNM,bioenergy,biogas,2050,0.3,2300000,80700,0.1,0
VNM,bioenergy,biomass,2023,0.3,1800000,49500,3.2,0
VNM,bioenergy,biomass,2030,0.3,1600000,45500,2.9,0
VNM,bioenergy,biomass,2050,0.3,1400000,39600,2.5,0
VNM,coal,integrated-gasification-combined-cycle,2023,0.4,2730000,68400,13.7,8.16828173
VNM,coal,integrated-gasification-combined-cycle,2030,0.4,2510000,66300,13.3,8.16828173
VNM,coal,integrated-gasification-combined-cycle,2050,0.4,2320000,64300,12.9,8.16828173
VNM,coal,coal-ccs,2023,0.4,4770000,123000,22,8.16828173
VNM,coal,coal-ccs,2030,0.4,4290000,121800,21.78,8.16828173
VNM,coal,coal-ccs,2050,0.4,3430000,116900,21.12,8.16828173
VNM,coal,subcritical,2023,0.4,1880000,51600,1.5,8.16828173
VNM,coal,subcritical,2030,0.4,1820000,50000,1.45,8.16828173
VNM,coal,subcritical,2050,0.4,1760000,48550,1.4,8.16828173
VNM,coal,supercritical,2023,0.4,1460000,39600,0.78,8.16828173
VNM,coal,supercritical,2030,0.4,1450000,38500,0.12,8.16828173
VNM,coal,supercritical,2050,0.4,1420000,37200,0.12,8.16828173
VNM,coal,coal-ccs,2023,0.4,3490000,83100,4,8.16828173
VNM,coal,coal-ccs,2030,0.4,3310000,80600,3.25,8.16828173
VNM,coal,coal-ccs,2050,0.4,2900000,78100,3.15,8.16828173
VNM,coal,ultrasupercritical,2023,0.4,1630000,61100,0.12,8.16828173
VNM,coal,ultrasupercritical,2030,0.4,1610000,59400,0.12,8.16828173
VNM,coal,ultrasupercritical,2050,0.4,1600000,57500,0.11,8.16828173
VNM,gas,combined-cycle,2023,0.6,770000,29350,0.45,14.571
VNM,gas,combined-cycle,2030,0.6,690000,28500,0.13,14.571
VNM,gas,combined-cycle,2050,0.6,680000,27600,0.12,14.571
