,solar_lf,wind_lf,hydro_lf,cogen_lf
0,0.1473700194622338,0.4036848870006834,0.09160677814214808,0.5106382978723404
1,0.29730857956868956,0.4172361464583035,0.10157435503844399,0.5159574468085106
2,0.38881284001909616,0.4211588794591935,0.10252364807618645,0.5143617021276595
3,0.4494946127388395,0.4286477333699836,0.08875889902892069,0.4473404255319149
4,0.46458478902364336,0.4443386653735437,0.06977303827407134,0.40797872340425534
5,0.43295963234166074,0.4639523303779939,0.07594344301939737,0.4398936170212766
6,0.3600772915618632,0.479999874472544,0.08591101991569328,0.5202127659574468
7,0.24328895914489687,0.48427921956442405,0.10157435503844399,0.5276595744680851
8,0.10811950774271728,0.49034162511125406,0.16755022116154547,0.5260638297872341
9,0.018381118985213257,0.48427921956442405,0.20409800311463044,0.5324468085106383
10,0.0,0.4329270784618636,0.22593174298270718,0.5308510638297872
11,0.0,0.3936997484529633,0.2045726496335017,0.5329787234042553
12,0.0,0.37515591972148316,0.17609385850122766,0.523936170212766
13,0.0,0.33913809853149285,0.15473476515202214,0.5255319148936171
14,0.0,0.3337889171666428,0.1343249648405591,0.5170212765957447
15,0.0,0.32130749398199265,0.09682788984973165,0.5218085106382979
16,0.0,0.3123921917072426,0.08353778732133711,0.4377659574468085
17,0.0,0.3095392949793226,0.08021526168923848,0.3930851063829787
18,0.0,0.3027636652505125,0.07594344301939737,0.3920212765957447
19,0.0,0.30775623452437256,0.07262091738729874,0.3781914893617021
20,0.0,0.31595831261714263,0.0692983917552001,0.3824468085106383
21,0.0,0.3195244335270427,0.07119697783068504,0.42340425531914894
22,0.00024080068539580687,0.3188112093450627,0.07119697783068504,0.4819148936170213
23,0.03323049458462135,0.3123921917072426,0.08116455472698095,0.4920212765957447
24,0.1473700194622338,0.4036848870006834,0.09160677814214808,0.5106382978723404
25,0.29730857956868956,0.4172361464583035,0.10157435503844399,0.5159574468085106
26,0.38881284001909616,0.4211588794591935,0.10252364807618645,0.5143617021276595
27,0.4494946127388395,0.4286477333699836,0.08875889902892069,0.4473404255319149
28,0.46458478902364336,0.4443386653735437,0.06977303827407134,0.40797872340425534
29,0.43295963234166074,0.4639523303779939,0.07594344301939737,0.4398936170212766
30,0.3600772915618632,0.479999874472544,0.08591101991569328,0.5202127659574468
31,0.24328895914489687,0.48427921956442405,0.10157435503844399,0.5276595744680851
32,0.10811950774271728,0.49034162511125406,0.16755022116154547,0.5260638297872341
33,0.018381118985213257,0.48427921956442405,0.20409800311463044,0.5324468085106383
34,0.0,0.4329270784618636,0.22593174298270718,0.5308510638297872
35,0.0,0.3936997484529633,0.2045726496335017,0.5329787234042553
36,0.0,0.37515591972148316,0.17609385850122766,0.523936170212766
37,0.0,0.33913809853149285,0.15473476515202214,0.5255319148936171
38,0.0,0.3337889171666428,0.1343249648405591,0.5170212765957447
39,0.0,0.32130749398199265,0.09682788984973165,0.5218085106382979
40,0.0,0.3123921917072426,0.08353778732133711,0.4377659574468085
41,0.0,0.3095392949793226,0.08021526168923848,0.3930851063829787
42,0.0,0.3027636652505125,0.07594344301939737,0.3920212765957447
43,0.0,0.30775623452437256,0.07262091738729874,0.3781914893617021
44,0.0,0.31595831261714263,0.0692983917552001,0.3824468085106383
45,0.0,0.3195244335270427,0.07119697783068504,0.42340425531914894
46,0.00024080068539580687,0.3188112093450627,0.07119697783068504,0.4819148936170213
47,0.03323049458462135,0.3123921917072426,0.08116455472698095,0.4920212765957447
48,0.1473700194622338,0.4036848870006834,0.09160677814214808,0.5106382978723404
49,0.29730857956868956,0.4172361464583035,0.10157435503844399,0.5159574468085106
50,0.38881284001909616,0.4211588794591935,0.10252364807618645,0.5143617021276595
51,0.4494946127388395,0.4286477333699836,0.08875889902892069,0.4473404255319149
52,0.46458478902364336,0.4443386653735437,0.06977303827407134,0.40797872340425534
53,0.43295963234166074,0.4639523303779939,0.07594344301939737,0.4398936170212766
54,0.3600772915618632,0.479999874472544,0.08591101991569328,0.5202127659574468
55,0.24328895914489687,0.48427921956442405,0.10157435503844399,0.5276595744680851
56,0.10811950774271728,0.49034162511125406,0.16755022116154547,0.5260638297872341
57,0.018381118985213257,0.48427921956442405,0.20409800311463044,0.5324468085106383
58,0.0,0.4329270784618636,0.22593174298270718,0.5308510638297872
59,0.0,0.3936997484529633,0.2045726496335017,0.5329787234042553
60,0.0,0.37515591972148316,0.17609385850122766,0.523936170212766
61,0.0,0.33913809853149285,0.15473476515202214,0.5255319148936171
62,0.0,0.3337889171666428,0.1343249648405591,0.5170212765957447
63,0.0,0.32130749398199265,0.09682788984973165,0.5218085106382979
64,0.0,0.3123921917072426,0.08353778732133711,0.4377659574468085
65,0.0,0.3095392949793226,0.08021526168923848,0.3930851063829787
66,0.0,0.3027636652505125,0.07594344301939737,0.3920212765957447
67,0.0,0.30775623452437256,0.07262091738729874,0.3781914893617021
68,0.0,0.31595831261714263,0.0692983917552001,0.3824468085106383
69,0.0,0.3195244335270427,0.07119697783068504,0.42340425531914894
70,0.00024080068539580687,0.3188112093450627,0.07119697783068504,0.4819148936170213
71,0.03323049458462135,0.3123921917072426,0.08116455472698095,0.4920212765957447
72,0.1473700194622338,0.4036848870006834,0.09160677814214808,0.5106382978723404
73,0.29730857956868956,0.4172361464583035,0.10157435503844399,0.5159574468085106
74,0.38881284001909616,0.4211588794591935,0.10252364807618645,0.5143617021276595
75,0.4494946127388395,0.4286477333699836,0.08875889902892069,0.4473404255319149
76,0.46458478902364336,0.4443386653735437,0.06977303827407134,0.40797872340425534
77,0.43295963234166074,0.4639523303779939,0.07594344301939737,0.4398936170212766
78,0.3600772915618632,0.479999874472544,0.08591101991569328,0.5202127659574468
79,0.24328895914489687,0.48427921956442405,0.10157435503844399,0.5276595744680851
80,0.10811950774271728,0.49034162511125406,0.16755022116154547,0.5260638297872341
81,0.018381118985213257,0.48427921956442405,0.20409800311463044,0.5324468085106383
82,0.015330976970199703,0.4550370281032438,0.21548951956754006,0.5441489361702128
83,0.0,0.2888557937019024,0.24349366418094284,0.5962765957446808
84,0.0,0.24891523951102207,0.21311628697318388,0.5829787234042553
85,0.0,0.23144124705251193,0.1552094116708934,0.6037234042553191
86,0.0,0.23536398005340195,0.09492930377424671,0.5941489361702128
87,0.0,0.20861807322915174,0.09160677814214808,0.5819148936170213
88,0.0,0.17473992458510146,0.09065748510440562,0.5585106382978723
89,0.0,0.17295686413015143,0.08733495947230697,0.5053191489361702
90,0.0,0.14585434521491122,0.08638566643456451,0.49840425531914895
91,0.0,0.12089149884561101,0.08306314080246588,0.4909574468085106
92,0.0,0.08736996229255073,0.08353778732133711,0.4776595744680851
93,0.0,0.08701335020156073,0.10252364807618645,0.5085106382978724
94,0.00040133447565967814,0.06419017637820054,0.11059263889699743,0.5840425531914893
95,0.02640780849840682,0.033164924462070276,0.10204900155731522,0.6127659574468085
96,0.13990519821496378,0.02246656173237019,0.12530668098200567,0.5989361702127659
97,0.2822986701790176,0.03387814864405028,0.11391516452909606,0.6037234042553191
98,0.3941104550978039,0.04279345091880036,0.09113213162327685,0.5888297872340426
99,0.46225704906481724,0.05456164992147045,0.08875889902892069,0.5590425531914893
100,0.486256850709266,0.06811290937909056,0.08021526168923848,0.49840425531914895
101,0.45888583946927597,0.07916788419978066,0.08116455472698095,0.5287234042553192
102,0.38271255598906906,0.07774143583582065,0.08353778732133711,0.5925531914893617
103,0.2670479601039498,0.050638916920580423,0.09303071769876178,0.5936170212765958
104,0.1423934719640538,0.029242191461180244,0.16043052337847696,0.5914893617021276
105,0.032508092528433924,0.02888557937019024,0.22165992431286607,0.5936170212765958
106,0.0,0.0238930100963302,0.2302035616525483,0.5946808510638298
107,0.0,0.0238930100963302,0.20599658919011538,0.5898936170212766
108,0.0,0.024249622187320203,0.1879600214730085,0.5829787234042553
109,0.0,0.027102518915240226,0.18463749584090985,0.5882978723404255
110,0.0,0.023179785914350194,0.15093759300105228,0.5872340425531914
111,0.0,0.026032682642270218,0.13147708572733172,0.5936170212765958
112,0.0,0.029598803552170247,0.1072701132648988,0.550531914893617
113,0.0,0.0360178211899903,0.09492930377424671,0.5069148936170212
114,0.0,0.04921246855662041,0.08638566643456451,0.4946808510638298
115,0.0,0.06347695219622053,0.08211384776472341,0.5037234042553191
116,0.0,0.08166416883671068,0.08163920124585218,0.5047872340425532
117,0.0,0.11340264493482094,0.07594344301939737,0.5015957446808511
118,0.00040133447565967814,0.11732537793571098,0.07689273605713984,0.4909574468085106
119,0.024722203700636172,0.12410100766452103,0.12483203446313443,0.500531914893617
120,0.13934332994904025,0.11126297238888093,0.14144466262362762,0.48829787234042554
121,0.2952216402952592,0.11554231748076096,0.11913627623667963,0.4957446808510638
122,0.4067926245286497,0.18401183895084153,0.09018283858553439,0.47393617021276596
123,0.477507759139885,0.23144124705251193,0.08163920124585218,0.4787234042553192
124,0.4917952664733696,0.28707273324695237,0.07831667561375354,0.47393617021276596
125,0.48842405687782825,0.3330756929846628,0.08543637339682204,0.46595744680851064
126,0.40799662795562874,0.41367002554840343,0.08116455472698095,0.46382978723404256
127,0.28872002178957246,0.49676064274907417,0.1072701132648988,0.4851063829787234
128,0.14207240438352606,0.5338483002120344,0.14334324869911255,0.498936170212766
129,0.03306996079435748,0.4992569273860042,0.21881204519963868,0.4946808510638298
130,0.0009632027415832275,0.49961353947699416,0.260106292341436,0.4909574468085106
131,0.0,0.48534905583739407,0.25488518063385246,0.4930851063829787
132,0.0,0.4311440180069136,0.2202359847562524,0.474468085106383
133,0.0,0.4111737409114734,0.20552194267124416,0.4696808510638298
134,0.0,0.45361057973928376,0.16707557464267422,0.4776595744680851
135,0.0,0.5031796603868942,0.13147708572733172,0.5010638297872341
136,0.0,0.5416937662138145,0.09208142466101932,0.5308510638297872
137,0.0,0.5777115874038048,0.08211384776472341,0.5106382978723404
138,0.0,0.590193010588455,0.08353778732133711,0.5202127659574468
139,0.0,0.600891373318155,0.08068990820810971,0.5351063829787234
140,0.0,0.6044574942280551,0.08116455472698095,0.5335106382978724
141,0.0,0.6076670030469651,0.06882374523632886,0.5292553191489362
142,0.00016053379026387124,0.6130161844118152,0.07024768479294258,0.527127659574468
143,0.018621919670609065,0.610163287683895,0.0678744521985864,0.525
144,0.0854039764203795,0.6144426327757752,0.06739980567971517,0.5356382978723404
145,0.18397172364239645,0.6226447108685452,0.08828425251004945,0.5292553191489362
146,0.2873554845723295,0.6237145471415152,0.09730253636860288,0.5351063829787234
147,0.4103243679144549,0.6340562977802253,0.09208142466101932,0.5351063829787234
148,0.4520631533830614,0.6354827461441853,0.08021526168923848,0.5457446808510639
149,0.4300700241169111,0.6340562977802253,0.07309556390616997,0.5468085106382978
150,0.37324106236350063,0.6344129098712152,0.07214627086842751,0.5797872340425532
151,0.2523591182948056,0.6276372801424053,0.08258849428359465,0.5569148936170213
152,0.114701393143536,0.6151558569577551,0.11581375060458099,0.5675531914893617
153,0.020789125839171325,0.6169389174127051,0.1751445654634852,0.5542553191489362
154,0.0,0.6155124690487451,0.20030083096366058,0.5335106382978724
155,0.0,0.6123029602298351,0.20599658919011538,0.5281914893617021
156,0.0,0.6140860206847851,0.20409800311463044,0.5414893617021277
157,0.0,0.605527330501025,0.17372062590687148,0.5356382978723404
158,0.0,0.5969686403172649,0.11533910408570976,0.5297872340425532
159,0.0,0.5852004413145949,0.09635324333086041,0.5175531914893617
160,0.0,0.5734322423119248,0.08543637339682204,0.5132978723404256
161,0.0,0.5556016377624247,0.08733495947230697,0.5042553191489362
162,0.0,0.5538185773074746,0.08638566643456451,0.47393617021276596
163,0.0,0.5416937662138145,0.08116455472698095,0.4888297872340426
164,0.0,0.5024664362049142,0.0749941499816549,0.47393617021276596
165,0.0,0.49034162511125406,0.065026573085359,0.5132978723404256
166,8.026689513193562e-05,0.47643375356264395,0.06407728004761654,0.5776595744680851
