,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
0,0,0,0,0,0,0,0,0,0,0.359,0.62,0.111,0.348,0.304,0.396,0.22,0.618,0.244,0,0,0,0,0,0,0,0,0,0.359,0.62,0.111,0.348,0.304,0.396,0.22,0.618,0.244
1,0,0,0,0,0,0,0,0,0,0.329,0.604,0.133,0.409,0.413,0.406,0.25,0.714,0.291,0,0,0,0,0,0,0,0,0,0.329,0.604,0.133,0.409,0.413,0.406,0.25,0.714,0.291
2,0,0,0,0,0,0,0,0,0,0.318,0.629,0.133,0.527,0.399,0.392,0.314,0.666,0.294,0,0,0,0,0,0,0,0,0,0.318,0.629,0.133,0.527,0.399,0.392,0.314,0.666,0.294
3,0,0,0,0,0,0,0,0,0,0.32,0.626,0.133,0.607,0.399,0.341,0.348,0.714,0.312,0,0,0,0,0,0,0,0,0,0.32,0.626,0.133,0.607,0.399,0.341,0.348,0.714,0.312
4,0,0,0,0,0,0,0,0,0,0.311,0.612,0.111,0.582,0.442,0.382,0.394,0.714,0.322,0,0,0,0,0,0,0,0,0,0.311,0.612,0.111,0.582,0.442,0.382,0.394,0.714,0.322
5,0,0,0,0,0,0,0,0,0,0.323,0.566,0.133,0.559,0.449,0.309,0.439,0.666,0.314,0,0,0,0,0,0,0,0,0,0.323,0.566,0.133,0.559,0.449,0.309,0.439,0.666,0.314
6,0,0,0,0,0,0,0,0,0,0.33,0.546,0.156,0.585,0.449,0.244,0.402,0.618,0.324,0,0,0,0,0,0,0,0,0,0.33,0.546,0.156,0.585,0.449,0.244,0.402,0.618,0.324
7,0.045,0.022,0.047,0.06,0.01,0.015,0.013,0.027,0.011,0.358,0.577,0.156,0.595,0.37,0.249,0.364,0.618,0.304,0.045,0,0.047,0.06,0.01,0.015,0.013,0.027,0.011,0.358,0.577,0.156,0.595,0.37,0.249,0.364,0.618,0.304
8,0.209,0.123,0.236,0.31,0.06,0.147,0.149,0.208,0.135,0.352,0.579,0.156,0.662,0.572,0.253,0.356,0.618,0.171,0.209,0.022,0.236,0.31,0.06,0.147,0.149,0.208,0.135,0.352,0.579,0.156,0.662,0.572,0.253,0.356,0.618,0.171
9,0.352,0.251,0.442,0.514,0.114,0.353,0.308,0.412,0.303,0.368,0.64,0.133,0.553,0.609,0.267,0.402,0.618,0.214,0.352,0.123,0.442,0.514,0.114,0.353,0.308,0.412,0.303,0.368,0.64,0.133,0.553,0.609,0.267,0.402,0.618,0.214
10,0.424,0.306,0.592,0.54,0.164,0.517,0.424,0.527,0.485,0.396,0.633,0.178,0.598,0.601,0.313,0.386,0.571,0.299,0.424,0.251,0.592,0.54,0.164,0.517,0.424,0.527,0.485,0.396,0.633,0.178,0.598,0.601,0.313,0.386,0.571,0.299
11,0.378,0.338,0.653,0.642,0.169,0.572,0.528,0.593,0.606,0.423,0.763,0.2,0.697,0.674,0.415,0.432,0.571,0.302,0.378,0.306,0.653,0.642,0.169,0.572,0.528,0.593,0.606,0.423,0.763,0.2,0.697,0.674,0.415,0.432,0.571,0.302
12,0.32,0.308,0.64,0.649,0.148,0.555,0.517,0.631,0.636,0.433,0.831,0.178,0.703,0.601,0.488,0.398,0.571,0.299,0.32,0.338,0.64,0.649,0.148,0.555,0.517,0.631,0.636,0.433,0.831,0.178,0.703,0.601,0.488,0.398,0.571,0.299
13,0.27,0.29,0.549,0.529,0.133,0.482,0.467,0.608,0.572,0.433,0.852,0.2,0.681,0.58,0.521,0.398,0.618,0.302,0.27,0.308,0.549,0.529,0.133,0.482,0.467,0.608,0.572,0.433,0.852,0.2,0.681,0.58,0.521,0.398,0.618,0.302
14,0.185,0.168,0.371,0.337,0.059,0.332,0.371,0.477,0.462,0.426,0.894,0.222,0.643,0.558,0.521,0.36,0.618,0.294,0.185,0.29,0.371,0.337,0.059,0.332,0.371,0.477,0.462,0.426,0.894,0.222,0.643,0.558,0.521,0.36,0.618,0.294
15,0.037,0.049,0.16,0.151,0.045,0.159,0.217,0.277,0.296,0.427,0.89,0.222,0.623,0.348,0.493,0.333,0.618,0.317,0.037,0.168,0.16,0.151,0.045,0.159,0.217,0.277,0.296,0.427,0.89,0.222,0.623,0.348,0.493,0.333,0.618,0.317
16,0,0.001,0.016,0.015,0.003,0.028,0.063,0.065,0.098,0.424,0.924,0.2,0.611,0.312,0.488,0.258,0.666,0.216,0,0.049,0.016,0.015,0.003,0.028,0.063,0.065,0.098,0.424,0.924,0.2,0.611,0.312,0.488,0.258,0.666,0.216
17,0,0,0,0,0,0,0,0,0.003,0.446,0.944,0.2,0.671,0.203,0.392,0.269,0.714,0.299,0,0.001,0,0,0,0,0,0,0.003,0.446,0.944,0.2,0.671,0.203,0.392,0.269,0.714,0.299
18,0,0,0,0,0,0,0,0,0,0.452,0.933,0.2,0.659,0.196,0.364,0.258,0.714,0.324,0,0,0,0,0,0,0,0,0,0.452,0.933,0.2,0.659,0.196,0.364,0.258,0.714,0.324
19,0,0,0,0,0,0,0,0,0,0.453,0.916,0.2,0.604,0.246,0.341,0.216,0.666,0.322,0,0,0,0,0,0,0,0,0,0.453,0.916,0.2,0.604,0.246,0.341,0.216,0.666,0.322
20,0,0,0,0,0,0,0,0,0,0.446,0.926,0.178,0.623,0.232,0.387,0.223,0.523,0.319,0,0,0,0,0,0,0,0,0,0.446,0.926,0.178,0.623,0.232,0.387,0.223,0.523,0.319
21,0,0,0,0,0,0,0,0,0,0.456,0.925,0.178,0.681,0.304,0.419,0.258,0.523,0.281,0,0,0,0,0,0,0,0,0,0.456,0.925,0.178,0.681,0.304,0.419,0.258,0.523,0.281
22,0,0,0,0,0,0,0,0,0,0.429,0.927,0.178,0.691,0.217,0.341,0.277,0.476,0.254,0,0,0,0,0,0,0,0,0,0.429,0.927,0.178,0.691,0.217,0.341,0.277,0.476,0.254
23,0,0,0,0,0,0,0,0,0,0.407,0.937,0.178,0.729,0.391,0.382,0.341,0.476,0.244,0,0,0,0,0,0,0,0,0,0.407,0.937,0.178,0.729,0.391,0.382,0.341,0.476,0.244
24,0,0,0,0,0,0,0,0,0,0.396,0.904,0.222,0.77,0.587,0.396,0.405,0.571,0.221,0,0,0,0,0,0,0,0,0,0.396,0.904,0.222,0.77,0.587,0.396,0.405,0.571,0.221
25,0,0,0,0,0,0,0,0,0,0.39,0.903,0.222,0.834,0.674,0.401,0.413,0.666,0.249,0,0,0,0,0,0,0,0,0,0.39,0.903,0.222,0.834,0.674,0.401,0.413,0.666,0.249
26,0,0,0,0,0,0,0,0,0,0.379,0.898,0.222,0.831,0.659,0.382,0.348,0.714,0.211,0,0,0,0,0,0,0,0,0,0.379,0.898,0.222,0.831,0.659,0.382,0.348,0.714,0.211
27,0,0,0,0,0,0,0,0,0,0.375,0.872,0.222,0.786,0.754,0.3,0.303,0.618,0.271,0,0,0,0,0,0,0,0,0,0.375,0.872,0.222,0.786,0.754,0.3,0.303,0.618,0.271
28,0,0,0,0,0,0,0,0,0,0.382,0.867,0.222,0.745,0.63,0.276,0.239,0.618,0.289,0,0,0,0,0,0,0,0,0,0.382,0.867,0.222,0.745,0.63,0.276,0.239,0.618,0.289
29,0,0,0,0,0,0,0,0,0,0.381,0.885,0.222,0.71,0.543,0.258,0.239,0.618,0.309,0,0,0,0,0,0,0,0,0,0.381,0.885,0.222,0.71,0.543,0.258,0.239,0.618,0.309
30,0,0,0,0,0,0,0,0,0,0.396,0.896,0.222,0.633,0.471,0.253,0.239,0.666,0.296,0,0,0,0,0,0,0,0,0,0.396,0.896,0.222,0.633,0.471,0.253,0.239,0.666,0.296
31,0.03,0.017,0.047,0.045,0.006,0.015,0.013,0.023,0.006,0.394,0.906,0.222,0.559,0.406,0.267,0.189,0.618,0.219,0.03,0,0.047,0.045,0.006,0.015,0.013,0.023,0.006,0.394,0.906,0.222,0.559,0.406,0.267,0.189,0.618,0.219
32,0.174,0.077,0.236,0.259,0.041,0.108,0.161,0.185,0.111,0.411,0.905,0.222,0.496,0.348,0.318,0.174,0.571,0.186,0.174,0.017,0.236,0.259,0.041,0.108,0.161,0.185,0.111,0.411,0.905,0.222,0.496,0.348,0.318,0.174,0.571,0.186
33,0.303,0.156,0.439,0.412,0.118,0.222,0.353,0.358,0.281,0.425,0.898,0.222,0.48,0.283,0.327,0.201,0.523,0.131,0.303,0.077,0.439,0.412,0.118,0.222,0.353,0.358,0.281,0.425,0.898,0.222,0.48,0.283,0.327,0.201,0.523,0.131
34,0.384,0.233,0.579,0.531,0.178,0.316,0.459,0.5,0.461,0.441,0.911,0.222,0.47,0.283,0.387,0.227,0.618,0.136,0.384,0.156,0.579,0.531,0.178,0.316,0.459,0.5,0.461,0.441,0.911,0.222,0.47,0.283,0.387,0.227,0.618,0.136
35,0.409,0.257,0.634,0.514,0.209,0.351,0.423,0.593,0.6,0.46,0.922,0.244,0.512,0.275,0.447,0.246,0.714,0.138,0.409,0.233,0.634,0.514,0.209,0.351,0.423,0.593,0.6,0.46,0.922,0.244,0.512,0.275,0.447,0.246,0.714,0.138
36,0.327,0.266,0.608,0.494,0.201,0.323,0.424,0.627,0.646,0.444,0.927,0.267,0.598,0.297,0.502,0.288,0.714,0.138,0.327,0.257,0.608,0.494,0.201,0.323,0.424,0.627,0.646,0.444,0.927,0.267,0.598,0.297,0.502,0.288,0.714,0.138
37,0.231,0.211,0.501,0.483,0.157,0.345,0.455,0.558,0.599,0.45,0.925,0.267,0.614,0.384,0.502,0.299,0.714,0.168,0.231,0.266,0.501,0.483,0.157,0.345,0.455,0.558,0.599,0.45,0.925,0.267,0.614,0.384,0.502,0.299,0.714,0.168
38,0.129,0.14,0.306,0.416,0.114,0.276,0.393,0.416,0.474,0.456,0.912,0.289,0.639,0.406,0.493,0.292,0.714,0.221,0.129,0.211,0.306,0.416,0.114,0.276,0.393,0.416,0.474,0.456,0.912,0.289,0.639,0.406,0.493,0.292,0.714,0.221
39,0.028,0.037,0.124,0.215,0.052,0.15,0.255,0.246,0.286,0.45,0.892,0.289,0.623,0.377,0.479,0.258,0.666,0.244,0.028,0.14,0.124,0.215,0.052,0.15,0.255,0.246,0.286,0.45,0.892,0.289,0.623,0.377,0.479,0.258,0.666,0.244
40,0,0.001,0.012,0.022,0.009,0.03,0.073,0.054,0.102,0.448,0.903,0.289,0.575,0.341,0.396,0.193,0.618,0.226,0,0.037,0.012,0.022,0.009,0.03,0.073,0.054,0.102,0.448,0.903,0.289,0.575,0.341,0.396,0.193,0.618,0.226
41,0,0,0,0,0,0,0,0,0.004,0.443,0.889,0.289,0.543,0.384,0.309,0.098,0.523,0.251,0,0.001,0,0,0,0,0,0,0.004,0.443,0.889,0.289,0.543,0.384,0.309,0.098,0.523,0.251
42,0,0,0,0,0,0,0,0,0,0.453,0.895,0.289,0.502,0.319,0.212,0.11,0.523,0.269,0,0,0,0,0,0,0,0,0,0.453,0.895,0.289,0.502,0.319,0.212,0.11,0.523,0.269
43,0,0,0,0,0,0,0,0,0,0.437,0.892,0.289,0.403,0.21,0.198,0.11,0.523,0.304,0,0,0,0,0,0,0,0,0,0.437,0.892,0.289,0.403,0.21,0.198,0.11,0.523,0.304
44,0,0,0,0,0,0,0,0,0,0.452,0.876,0.267,0.329,0.188,0.244,0.125,0.571,0.322,0,0,0,0,0,0,0,0,0,0.452,0.876,0.267,0.329,0.188,0.244,0.125,0.571,0.322
45,0,0,0,0,0,0,0,0,0,0.456,0.856,0.289,0.246,0.167,0.382,0.129,0.618,0.269,0,0,0,0,0,0,0,0,0,0.456,0.856,0.289,0.246,0.167,0.382,0.129,0.618,0.269
46,0,0,0,0,0,0,0,0,0,0.446,0.841,0.267,0.272,0.174,0.378,0.117,0.618,0.271,0,0,0,0,0,0,0,0,0,0.446,0.841,0.267,0.272,0.174,0.378,0.117,0.618,0.271
47,0,0,0,0,0,0,0,0,0,0.438,0.854,0.267,0.31,0.123,0.447,0.087,0.666,0.241,0,0,0,0,0,0,0,0,0,0.438,0.854,0.267,0.31,0.123,0.447,0.087,0.666,0.241
48,0,0,0,0,0,0,0,0,0,0.435,0.859,0.267,0.364,0.152,0.318,0.08,0.714,0.239,0,0,0,0,0,0,0,0,0,0.435,0.859,0.267,0.364,0.152,0.318,0.08,0.714,0.239
49,0,0,0,0,0,0,0,0,0,0.427,0.87,0.289,0.31,0.167,0.221,0.098,0.714,0.261,0,0,0,0,0,0,0,0,0,0.427,0.87,0.289,0.31,0.167,0.221,0.098,0.714,0.261
50,0,0,0,0,0,0,0,0,0,0.416,0.86,0.289,0.294,0.138,0.244,0.087,0.856,0.271,0,0,0,0,0,0,0,0,0,0.416,0.86,0.289,0.294,0.138,0.244,0.087,0.856,0.271
51,0,0,0,0,0,0,0,0,0,0.391,0.851,0.289,0.313,0.152,0.281,0.117,0.809,0.246,0,0,0,0,0,0,0,0,0,0.391,0.851,0.289,0.313,0.152,0.281,0.117,0.809,0.246
52,0,0,0,0,0,0,0,0,0,0.411,0.865,0.267,0.371,0.145,0.272,0.133,0.809,0.319,0,0,0,0,0,0,0,0,0,0.411,0.865,0.267,0.371,0.145,0.272,0.133,0.809,0.319
53,0,0,0,0,0,0,0,0,0,0.42,0.853,0.267,0.435,0.109,0.276,0.155,0.809,0.344,0,0,0,0,0,0,0,0,0,0.42,0.853,0.267,0.435,0.109,0.276,0.155,0.809,0.344
54,0,0,0,0,0,0,0,0,0,0.398,0.847,0.267,0.419,0.116,0.203,0.163,0.809,0.352,0,0,0,0,0,0,0,0,0,0.398,0.847,0.267,0.419,0.116,0.203,0.163,0.809,0.352
55,0.037,0.024,0.047,0.054,0.006,0.016,0.018,0.023,0.012,0.385,0.851,0.244,0.416,0.08,0.23,0.148,0.809,0.339,0.037,0,0.047,0.054,0.006,0.016,0.018,0.023,0.012,0.385,0.851,0.244,0.416,0.08,0.23,0.148,0.809,0.339
56,0.195,0.122,0.236,0.301,0.04,0.153,0.189,0.2,0.146,0.356,0.859,0.222,0.39,0.094,0.253,0.178,0.714,0.286,0.195,0.024,0.236,0.301,0.04,0.153,0.189,0.2,0.146,0.356,0.859,0.222,0.39,0.094,0.253,0.178,0.714,0.286
57,0.339,0.232,0.442,0.522,0.145,0.355,0.383,0.396,0.313,0.369,0.851,0.222,0.441,0.072,0.281,0.152,0.618,0.219,0.339,0.122,0.442,0.522,0.145,0.355,0.383,0.396,0.313,0.369,0.851,0.222,0.441,0.072,0.281,0.152,0.618,0.219
58,0.424,0.312,0.588,0.605,0.33,0.503,0.517,0.546,0.444,0.361,0.843,0.222,0.464,0.138,0.406,0.178,0.618,0.214,0.424,0.232,0.588,0.605,0.33,0.503,0.517,0.546,0.444,0.361,0.843,0.222,0.464,0.138,0.406,0.178,0.618,0.214
59,0.439,0.37,0.65,0.616,0.386,0.593,0.555,0.635,0.519,0.369,0.878,0.244,0.483,0.138,0.498,0.178,0.618,0.221,0.439,0.312,0.65,0.616,0.386,0.593,0.555,0.635,0.519,0.369,0.878,0.244,0.483,0.138,0.498,0.178,0.618,0.221
60,0.361,0.358,0.628,0.541,0.324,0.549,0.507,0.65,0.622,0.369,0.869,0.244,0.512,0.123,0.502,0.246,0.666,0.256,0.361,0.37,0.628,0.541,0.324,0.549,0.507,0.65,0.622,0.369,0.869,0.244,0.512,0.123,0.502,0.246,0.666,0.256
61,0.297,0.316,0.535,0.512,0.196,0.45,0.473,0.57,0.601,0.386,0.877,0.244,0.499,0.217,0.512,0.261,0.666,0.291,0.297,0.358,0.535,0.512,0.196,0.45,0.473,0.57,0.601,0.386,0.877,0.244,0.499,0.217,0.512,0.261,0.666,0.291
62,0.2,0.202,0.367,0.406,0.145,0.316,0.356,0.443,0.495,0.391,0.881,0.244,0.502,0.312,0.521,0.258,0.761,0.296,0.2,0.316,0.367,0.406,0.145,0.316,0.356,0.443,0.495,0.391,0.881,0.244,0.502,0.312,0.521,0.258,0.761,0.296
63,0.044,0.056,0.165,0.21,0.046,0.168,0.237,0.266,0.334,0.379,0.856,0.244,0.496,0.37,0.475,0.254,0.761,0.289,0.044,0.202,0.165,0.21,0.046,0.168,0.237,0.266,0.334,0.379,0.856,0.244,0.496,0.37,0.475,0.254,0.761,0.289
64,0,0.001,0.017,0.021,0.004,0.033,0.072,0.069,0.121,0.389,0.844,0.244,0.435,0.384,0.396,0.223,0.666,0.289,0,0.056,0.017,0.021,0.004,0.033,0.072,0.069,0.121,0.389,0.844,0.244,0.435,0.384,0.396,0.223,0.666,0.289
65,0,0,0,0,0,0,0,0,0.004,0.407,0.861,0.267,0.409,0.413,0.327,0.223,0.618,0.302,0,0.001,0,0,0,0,0,0,0.004,0.407,0.861,0.267,0.409,0.413,0.327,0.223,0.618,0.302
66,0,0,0,0,0,0,0,0,0,0.406,0.849,0.267,0.371,0.406,0.286,0.216,0.618,0.296,0,0,0,0,0,0,0,0,0,0.406,0.849,0.267,0.371,0.406,0.286,0.216,0.618,0.296
67,0,0,0,0,0,0,0,0,0,0.399,0.847,0.267,0.339,0.399,0.304,0.254,0.618,0.294,0,0,0,0,0,0,0,0,0,0.399,0.847,0.267,0.339,0.399,0.304,0.254,0.618,0.294
68,0,0,0,0,0,0,0,0,0,0.402,0.849,0.244,0.326,0.377,0.364,0.25,0.714,0.259,0,0,0,0,0,0,0,0,0,0.402,0.849,0.244,0.326,0.377,0.364,0.25,0.714,0.259
69,0,0,0,0,0,0,0,0,0,0.395,0.838,0.244,0.396,0.297,0.382,0.25,0.761,0.269,0,0,0,0,0,0,0,0,0,0.395,0.838,0.244,0.396,0.297,0.382,0.25,0.761,0.269
70,0,0,0,0,0,0,0,0,0,0.382,0.834,0.244,0.387,0.297,0.382,0.284,0.714,0.249,0,0,0,0,0,0,0,0,0,0.382,0.834,0.244,0.387,0.297,0.382,0.284,0.714,0.249
71,0,0,0,0,0,0,0,0,0,0.376,0.849,0.244,0.435,0.239,0.382,0.383,0.666,0.256,0,0,0,0,0,0,0,0,0,0.376,0.849,0.244,0.435,0.239,0.382,0.383,0.666,0.256
72,0,0,0,0,0,0,0,0,0,0.367,0.878,0.267,0.464,0.254,0.373,0.428,0.666,0.284,0,0,0,0,0,0,0,0,0,0.367,0.878,0.267,0.464,0.254,0.373,0.428,0.666,0.284
73,0,0,0,0,0,0,0,0,0,0.384,0.887,0.267,0.527,0.217,0.429,0.508,0.714,0.327,0,0,0,0,0,0,0,0,0,0.384,0.887,0.267,0.527,0.217,0.429,0.508,0.714,0.327
74,0,0,0,0,0,0,0,0,0,0.382,0.863,0.267,0.556,0.188,0.456,0.5,0.714,0.349,0,0,0,0,0,0,0,0,0,0.382,0.863,0.267,0.556,0.188,0.456,0.5,0.714,0.349
75,0,0,0,0,0,0,0,0,0,0.389,0.874,0.267,0.579,0.116,0.484,0.447,0.761,0.364,0,0,0,0,0,0,0,0,0,0.389,0.874,0.267,0.579,0.116,0.484,0.447,0.761,0.364
76,0,0,0,0,0,0,0,0,0,0.387,0.878,0.267,0.588,0.109,0.456,0.402,0.761,0.324,0,0,0,0,0,0,0,0,0,0.387,0.878,0.267,0.588,0.109,0.456,0.402,0.761,0.324
77,0,0,0,0,0,0,0,0,0,0.36,0.876,0.289,0.62,0.123,0.415,0.379,0.714,0.317,0,0,0,0,0,0,0,0,0,0.36,0.876,0.289,0.62,0.123,0.415,0.379,0.714,0.317
78,0,0,0,0,0,0,0,0,0,0.352,0.863,0.267,0.566,0.138,0.452,0.36,0.666,0.304,0,0,0,0,0,0,0,0,0,0.352,0.863,0.267,0.566,0.138,0.452,0.36,0.666,0.304
79,0.032,0.03,0.047,0.038,0.008,0.016,0.018,0.027,0.011,0.313,0.87,0.267,0.531,0.094,0.521,0.398,0.714,0.314,0.032,0,0.047,0.038,0.008,0.016,0.018,0.027,0.011,0.313,0.87,0.267,0.531,0.094,0.521,0.398,0.714,0.314
80,0.181,0.134,0.234,0.215,0.038,0.155,0.188,0.212,0.154,0.318,0.89,0.222,0.505,0.123,0.512,0.356,0.714,0.246,0.181,0.03,0.234,0.215,0.038,0.155,0.188,0.212,0.154,0.318,0.89,0.222,0.505,0.123,0.512,0.356,0.714,0.246
81,0.318,0.244,0.437,0.339,0.072,0.355,0.367,0.439,0.353,0.329,0.874,0.222,0.518,0.087,0.539,0.322,0.714,0.219,0.318,0.134,0.437,0.339,0.072,0.355,0.367,0.439,0.353,0.329,0.874,0.222,0.518,0.087,0.539,0.322,0.714,0.219
82,0.412,0.312,0.583,0.374,0.148,0.475,0.492,0.562,0.53,0.318,0.847,0.222,0.607,0.116,0.535,0.409,0.761,0.256,0.412,0.244,0.583,0.374,0.148,0.475,0.492,0.562,0.53,0.318,0.847,0.222,0.607,0.116,0.535,0.409,0.761,0.256
83,0.431,0.359,0.646,0.394,0.184,0.504,0.501,0.512,0.662,0.324,0.855,0.222,0.627,0.254,0.636,0.432,0.809,0.264,0.431,0.312,0.646,0.394,0.184,0.504,0.501,0.512,0.662,0.324,0.855,0.222,0.627,0.254,0.636,0.432,0.809,0.264
84,0.375,0.382,0.632,0.392,0.109,0.465,0.506,0.535,0.692,0.37,0.869,0.222,0.617,0.413,0.747,0.409,0.856,0.286,0.375,0.359,0.632,0.392,0.109,0.465,0.506,0.535,0.692,0.37,0.869,0.222,0.617,0.413,0.747,0.409,0.856,0.286
85,0.304,0.334,0.519,0.38,0.07,0.392,0.463,0.554,0.641,0.368,0.881,0.222,0.604,0.5,0.765,0.417,0.809,0.339,0.304,0.382,0.519,0.38,0.07,0.392,0.463,0.554,0.641,0.368,0.881,0.222,0.604,0.5,0.765,0.417,0.809,0.339
86,0.184,0.21,0.345,0.292,0.054,0.27,0.378,0.431,0.523,0.367,0.855,0.244,0.611,0.536,0.747,0.477,0.856,0.362,0.184,0.334,0.345,0.292,0.054,0.27,0.378,0.431,0.523,0.367,0.855,0.244,0.611,0.536,0.747,0.477,0.856,0.362
87,0.039,0.058,0.162,0.146,0.023,0.14,0.237,0.242,0.346,0.341,0.87,0.244,0.585,0.565,0.691,0.466,0.856,0.327,0.039,0.21,0.162,0.146,0.023,0.14,0.237,0.242,0.346,0.341,0.87,0.244,0.585,0.565,0.691,0.466,0.856,0.327
88,0,0.001,0.017,0.02,0.003,0.028,0.072,0.058,0.123,0.313,0.867,0.267,0.524,0.623,0.687,0.462,0.809,0.294,0,0.058,0.017,0.02,0.003,0.028,0.072,0.058,0.123,0.313,0.867,0.267,0.524,0.623,0.687,0.462,0.809,0.294
89,0,0,0,0,0,0,0,0,0.005,0.328,0.86,0.267,0.457,0.638,0.691,0.417,0.904,0.251,0,0.001,0,0,0,0,0,0,0.005,0.328,0.86,0.267,0.457,0.638,0.691,0.417,0.904,0.251
90,0,0,0,0,0,0,0,0,0,0.34,0.842,0.289,0.518,0.565,0.71,0.322,0.856,0.206,0,0,0,0,0,0,0,0,0,0.34,0.842,0.289,0.518,0.565,0.71,0.322,0.856,0.206
91,0,0,0,0,0,0,0,0,0,0.342,0.836,0.289,0.563,0.529,0.673,0.36,0.856,0.166,0,0,0,0,0,0,0,0,0,0.342,0.836,0.289,0.563,0.529,0.673,0.36,0.856,0.166
92,0,0,0,0,0,0,0,0,0,0.351,0.821,0.289,0.512,0.565,0.668,0.364,0.856,0.158,0,0,0,0,0,0,0,0,0,0.351,0.821,0.289,0.512,0.565,0.668,0.364,0.856,0.158
93,0,0,0,0,0,0,0,0,0,0.358,0.81,0.289,0.496,0.587,0.682,0.405,0.856,0.171,0,0,0,0,0,0,0,0,0,0.358,0.81,0.289,0.496,0.587,0.682,0.405,0.856,0.171
94,0,0,0,0,0,0,0,0,0,0.343,0.802,0.289,0.448,0.536,0.641,0.303,0.761,0.198,0,0,0,0,0,0,0,0,0,0.343,0.802,0.289,0.448,0.536,0.641,0.303,0.761,0.198
95,0,0,0,0,0,0,0,0,0,0.358,0.799,0.289,0.342,0.399,0.627,0.242,0.714,0.201,0,0,0,0,0,0,0,0,0,0.358,0.799,0.289,0.342,0.399,0.627,0.242,0.714,0.201
96,0,0,0,0,0,0,0,0,0,0.382,0.789,0.311,0.269,0.37,0.576,0.254,0.714,0.196,0,0,0,0,0,0,0,0,0,0.382,0.789,0.311,0.269,0.37,0.576,0.254,0.714,0.196
97,0,0,0,0,0,0,0,0,0,0.41,0.809,0.289,0.297,0.304,0.571,0.22,0.761,0.196,0,0,0,0,0,0,0,0,0,0.41,0.809,0.289,0.297,0.304,0.571,0.22,0.761,0.196
98,0,0,0,0,0,0,0,0,0,0.423,0.824,0.289,0.342,0.29,0.613,0.205,0.761,0.196,0,0,0,0,0,0,0,0,0,0.423,0.824,0.289,0.342,0.29,0.613,0.205,0.761,0.196
99,0,0,0,0,0,0,0,0,0,0.435,0.786,0.289,0.313,0.29,0.59,0.223,0.714,0.211,0,0,0,0,0,0,0,0,0,0.435,0.786,0.289,0.313,0.29,0.59,0.223,0.714,0.211
100,0,0,0,0,0,0,0,0,0,0.445,0.805,0.289,0.31,0.297,0.558,0.216,0.761,0.216,0,0,0,0,0,0,0,0,0,0.445,0.805,0.289,0.31,0.297,0.558,0.216,0.761,0.216
101,0,0,0,0,0,0,0,0,0,0.441,0.814,0.244,0.313,0.268,0.447,0.216,0.714,0.241,0,0,0,0,0,0,0,0,0,0.441,0.814,0.244,0.313,0.268,0.447,0.216,0.714,0.241
102,0,0,0,0,0,0,0,0,0,0.426,0.833,0.244,0.316,0.225,0.382,0.22,0.666,0.221,0,0,0,0,0,0,0,0,0,0.426,0.833,0.244,0.316,0.225,0.382,0.22,0.666,0.221
103,0.034,0.042,0.048,0.066,0.009,0.016,0.017,0.027,0.01,0.417,0.865,0.244,0.24,0.225,0.359,0.295,0.714,0.239,0.034,0,0.048,0.066,0.009,0.016,0.017,0.027,0.01,0.417,0.865,0.244,0.24,0.225,0.359,0.295,0.714,0.239
104,0.202,0.18,0.239,0.288,0.053,0.15,0.178,0.212,0.132,0.414,0.866,0.267,0.195,0.196,0.313,0.307,0.714,0.231,0.202,0.042,0.239,0.288,0.053,0.15,0.178,0.212,0.132,0.414,0.866,0.267,0.195,0.196,0.313,0.307,0.714,0.231
105,0.347,0.318,0.447,0.47,0.135,0.342,0.378,0.427,0.299,0.433,0.874,0.267,0.281,0.138,0.35,0.284,0.618,0.178,0.347,0.18,0.447,0.47,0.135,0.342,0.378,0.427,0.299,0.433,0.874,0.267,0.281,0.138,0.35,0.284,0.618,0.178
