,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
2828,0,0,0,0,0,0,0,0,0,0.06,0.082,0.156,0.152,0.08,0.313,0.273,0.427,0.201,0,0,0,0,0,0,0,0,0,0.06,0.082,0.156,0.152,0.08,0.313,0.273,0.427,0.201
2829,0,0,0,0,0,0,0,0,0,0.077,0.096,0.156,0.108,0.138,0.29,0.39,0.427,0.234,0,0,0,0,0,0,0,0,0,0.077,0.096,0.156,0.108,0.138,0.29,0.39,0.427,0.234
2830,0,0,0,0,0,0,0,0,0,0.098,0.09,0.156,0.06,0.21,0.263,0.386,0.427,0.254,0,0,0,0,0,0,0,0,0,0.098,0.09,0.156,0.06,0.21,0.263,0.386,0.427,0.254
2831,0,0,0,0,0,0,0,0,0,0.155,0.105,0.133,0.073,0.246,0.323,0.39,0.474,0.266,0,0,0,0,0,0,0,0,0,0.155,0.105,0.133,0.073,0.246,0.323,0.39,0.474,0.266
2832,0,0,0,0,0,0,0,0,0,0.166,0.126,0.156,0.171,0.188,0.276,0.386,0.474,0.289,0,0,0,0,0,0,0,0,0,0.166,0.126,0.156,0.171,0.188,0.276,0.386,0.474,0.289
2833,0,0,0,0,0,0,0,0,0,0.183,0.127,0.133,0.181,0.13,0.341,0.352,0.427,0.324,0,0,0,0,0,0,0,0,0,0.183,0.127,0.133,0.181,0.13,0.341,0.352,0.427,0.324
2834,0,0,0,0,0,0,0,0,0,0.17,0.099,0.133,0.095,0.203,0.281,0.439,0.38,0.334,0,0,0,0,0,0,0,0,0,0.17,0.099,0.133,0.095,0.203,0.281,0.439,0.38,0.334
2835,0,0,0,0,0,0,0,0,0,0.165,0.087,0.133,0.041,0.232,0.212,0.492,0.38,0.364,0,0,0,0,0,0,0,0,0,0.165,0.087,0.133,0.041,0.232,0.212,0.492,0.38,0.364
2836,0.002,0.001,0,0,0,0,0,0,0,0.154,0.094,0.133,0.019,0.341,0.221,0.549,0.474,0.455,0.002,0,0,0,0,0,0,0,0,0.154,0.094,0.133,0.019,0.341,0.221,0.549,0.474,0.455
2837,0.095,0.059,0.024,0.01,0.027,0.011,0.006,0.015,0,0.145,0.117,0.156,0.003,0.457,0.212,0.587,0.474,0.52,0.095,0.001,0.024,0.01,0.027,0.011,0.006,0.015,0,0.145,0.117,0.156,0.003,0.457,0.212,0.587,0.474,0.52
