name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_storage,marginal_cost_quadratic,standing_loss,spill,inflow,state_of_charge,state_of_charge_initial,state_of_charge_initial_per_period,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,build_year,lifetime,capital_cost,efficiency_store,efficiency_dispatch,standing_loss,annual_fixed_costs,total_capital_cost
JPN06-PumpedHydro-2030_exo,JPN06,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN06-Batteries-2023active_exo,JPN06,,Batteries,0,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN06-Batteries-2030_endo,JPN06,,Batteries,0,,TRUE,0,184.8,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN06-Batteries-2030_exo,JPN06,,Batteries,444.03,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN07-PumpedHydro-2023active_exo,JPN07,,PumpedHydro,2095.56,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2023,50,3602390,1,0.95,0,20150,3602390
JPN07-PumpedHydro-2030_exo,JPN07,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN07-Batteries-2023active_exo,JPN07,,Batteries,6.2,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN07-Batteries-2030_endo,JPN07,,Batteries,0,,TRUE,0,185.5,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN07-Batteries-2030_exo,JPN07,,Batteries,339.31,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN08-PumpedHydro-2023active_exo,JPN08,,PumpedHydro,686.57,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2023,50,3602390,1,0.95,0,20150,3602390
JPN08-PumpedHydro-2030_exo,JPN08,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN08-Batteries-2023active_exo,JPN08,,Batteries,0,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN08-Batteries-2030_endo,JPN08,,Batteries,0,,TRUE,0,50,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN08-Batteries-2030_exo,JPN08,,Batteries,0,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN09-PumpedHydro-2023active_exo,JPN09,,PumpedHydro,2280.51,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2023,50,3602390,1,0.95,0,20150,3602390
