Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,opex_fixed,emission_activity_ratio
nuclear:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,nuclear,3617.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,nuclear,2193.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,nuclear,2070.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,nuclear,1206.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,6578.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,nuclear,4140.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,nuclear,890.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,nuclear,3308.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
nuclear:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,nuclear,3812.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.0,0.0,True,0,40.0,319369.5411832705,0.3496503496503497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,155368.966,
