Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,emission_activity_ratio,opex_fixed,max_utilisation_rate,min_utilisation_rate
coal-ammonia-cofiring:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,coal-ammonia-cofiring,700,0,TRUE,700,700,0,0.46,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.34,0.34
coal-ammonia-cofiring:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,coal-ammonia-cofiring,1400,0,TRUE,1400,1400,0,0.6,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.52,
coal-ammonia-cofiring:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,coal-ammonia-cofiring,0,0,TRUE,0,810,0,0.52,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.41,
coal-ammonia-cofiring:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,coal-ammonia-cofiring,0,0,TRUE,0,997,0,0.62,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.52,0.52
coal-ammonia-cofiring:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,coal-ammonia-cofiring,0,0,TRUE,0,405,0,0.57,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.445,0.445
coal-ammonia-cofiring:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,coal-ammonia-cofiring,0,0,TRUE,0,372,0,0.51,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.365,0.365
gas-hydrogen-cofiring:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,gas-hydrogen-cofiring,0,0,TRUE,0,67,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.085
gas-hydrogen-cofiring:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,gas-hydrogen-cofiring,0,0,TRUE,0,184,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.1
gas-hydrogen-cofiring:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-hydrogen-cofiring,1200,0,TRUE,1200,1306,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.23
gas-hydrogen-cofiring:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,gas-hydrogen-cofiring,0,0,TRUE,0,437,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.14
gas-hydrogen-cofiring:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-hydrogen-cofiring,0,0,TRUE,0,1448,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.225
gas-hydrogen-cofiring:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,gas-hydrogen-cofiring,0,0,TRUE,0,1056,0,1,0,,,0,1,gas-hydrogen-cofiring,113.5,0,TRUE,2040,40,172791.3297,0.549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.1584,79141.06703,0.7,0.05
