Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,emission_activity_ratio,opex_fixed,max_utilisation_rate,min_utilisation_rate
wind-onshore:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,wind-onshore,1480,0,TRUE,1480,6290,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
wind-onshore:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,wind-onshore,190,0,TRUE,190,2404,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
wind-onshore:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,wind-onshore,880,0,TRUE,880,2144,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
wind-onshore:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,wind-onshore,1560,0,TRUE,1560,3890,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
wind-onshore:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,wind-onshore,3570,0,TRUE,3570,18246,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
wind-onshore:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,wind-onshore,1370,0,TRUE,1370,3039,0,1,0,,,0,1,wind-onshore,0,0,TRUE,2040,25,222418.0733,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,81743.39446,,
nuclear-Tomari:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,nuclear,2070,0,FALSE,2070,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Onagawa:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,nuclear,825,0,FALSE,825,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Kashiwazaki-Kariwa:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,nuclear,2712,0,FALSE,2712,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Shika:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,nuclear,1206,0,FALSE,1206,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Oi:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,2360,0,FALSE,2360,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Takahama:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,1740,0,FALSE,1740,inf,0.7,0.7,0,,,0,1,nuclear,13,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Shimane:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,nuclear,820,0,FALSE,820,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Ikata:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,nuclear,890,0,FALSE,890,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Genkai:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,nuclear,2360,0,FALSE,2360,inf,0.7,0.7,0,,,0,1,nuclear,12,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
nuclear-Sendai:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,nuclear,1780,0,FALSE,1780,inf,0.7,0.7,0,,,0,1,nuclear,13,0,TRUE,2040,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,0.6,0.6,1,1,1,0,,155368.966,,
photovoltaic-unspecified:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,photovoltaic-unspecified,3600,0,TRUE,3600,13496,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,photovoltaic-unspecified,1670,0,TRUE,1670,4970,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,photovoltaic-unspecified,11330,0,TRUE,11330,38999,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,photovoltaic-unspecified,2340,0,TRUE,2340,8305,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,photovoltaic-unspecified,7030,0,TRUE,7030,23097,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,photovoltaic-unspecified,7930,0,TRUE,7930,26285,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,photovoltaic-unspecified,18470,0,TRUE,18470,60231,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,photovoltaic-unspecified,9660,0,TRUE,9660,33780,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
photovoltaic-unspecified:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,photovoltaic-unspecified,13470,0,TRUE,13470,49404,0,1,0,,,0,1,photovoltaic-unspecified,0,0,TRUE,2040,20,102863.2143,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,34083.29623,,
biomass:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,biomass,420,0,FALSE,420,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,biomass,50,0,FALSE,50,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,biomass,410,0,FALSE,410,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,biomass,360,0,FALSE,360,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,biomass,650,0,FALSE,650,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,biomass,440,0,FALSE,440,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,biomass,1740,0,FALSE,1740,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,biomass,970,0,FALSE,970,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
biomass:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,biomass,2180,0,FALSE,2180,inf,0,1,0,,,0,1,biomass,130.4,0,TRUE,2040,40,489994.8764,0.25,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,352007.8135,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,hydro-reservoir-and-run-of-river,940,0,FALSE,940,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
