hour,node,node_name,technology,user_data
7,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.47
7,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.58
7,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.69
7,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.97
7,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.89
7,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.52
7,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.6
7,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.52
8,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.59
8,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.45
8,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.55
8,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.66
8,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
8,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
8,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.5
8,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.58
8,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.47
9,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.55
9,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.43
9,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.52
9,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.63
9,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.92
9,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.83
9,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.48
9,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.55
9,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.42
10,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.52
10,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.41
10,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.49
10,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.6
10,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.9
10,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.8
10,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.45
10,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.53
10,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.37
11,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.5
11,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.4
11,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.46
11,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.57
11,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.88
11,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.78
11,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
11,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
11,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.34
12,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.48
12,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
12,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.45
