hour,node,node_name,technology,user_data
7,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.43
7,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.54
7,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.65
7,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.93
7,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.85
7,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.48
7,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.56
7,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.48
8,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.55
8,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.41
8,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.51
8,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.62
8,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
8,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
8,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.46
8,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.54
8,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.43
9,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.51
9,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
9,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.48
9,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.59
9,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.88
9,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.79
9,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.44
9,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
9,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.38
10,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.48
10,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.37
10,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.45
10,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
10,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.86
10,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.76
10,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.41
10,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.49
10,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.33
11,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.46
11,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.36
11,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.42
11,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.53
11,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.84
11,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.74
11,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
11,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
11,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.3
12,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.44
12,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
12,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.41
12,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.52
12,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.83
12,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.73
12,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
12,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.46
12,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.29
13,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.43
13,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
13,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
13,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
13,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.83
13,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.73
13,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
13,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.46
13,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.28
14,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.43
14,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.34
14,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.39
14,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
14,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.83
14,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.73
14,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.37
14,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.46
14,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.29
15,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.44
15,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
15,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
15,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
15,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.84
15,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.74
15,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
15,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.46
15,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.3
16,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
16,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
16,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.41
16,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.52
16,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.86
16,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.76
16,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
16,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
16,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.33
17,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
17,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
17,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
17,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.52
17,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.87
17,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.78
17,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
17,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
17,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.36
18,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
18,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
18,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
18,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
18,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.88
18,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.79
18,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
18,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
18,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.38
19,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
19,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
19,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
19,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
19,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.89
19,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.8
19,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
19,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
19,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.4
20,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
20,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.34
20,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
20,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
20,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.9
20,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
20,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
20,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
20,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.42
21,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.45
21,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.34
21,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
21,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
21,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
21,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
21,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
21,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
21,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.43
22,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.46
22,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
22,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
22,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
22,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
22,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.83
22,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
22,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
22,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.44
23,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.47
23,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
23,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.41
23,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.52
23,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
23,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.83
23,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.4
23,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.48
23,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.44
