Country,Technology,Year,OvernightCapitalCost,FixedCost,VariableCost,Efficiency
MMR,coal-ccs,2023,3600400,,3.5215,0.5
MMR,coal-ccs,2030,3330100,,3.0385,0.5
MMR,coal-ccs,2050,2796050,,2.847,0.5
MYS,coal-ccs,2023,4698450,,21.67,0.5
MYS,coal-ccs,2030,4225650,,21.4533,0.5
MYS,coal-ccs,2050,3378550,,20.8032,0.5
MYS,coal-ccs,2023,3600400,,3.5215,0.5
MYS,coal-ccs,2030,3330100,,3.0385,0.5
MYS,coal-ccs,2050,2796050,,2.847,0.5
PHL,coal-ccs,2023,4698450,,21.67,0.5
PHL,coal-ccs,2030,4225650,,21.4533,0.5
PHL,coal-ccs,2050,3378550,,20.8032,0.5
PHL,coal-ccs,2023,3600400,,3.5215,0.5
PHL,coal-ccs,2030,3330100,,3.0385,0.5
PHL,coal-ccs,2050,2796050,,2.847,0.5
SGP,coal-ccs,2023,4698450,,21.67,0.5
SGP,coal-ccs,2030,4225650,,21.4533,0.5
SGP,coal-ccs,2050,3378550,,20.8032,0.5
SGP,coal-ccs,2023,3600400,,3.5215,0.5
SGP,coal-ccs,2030,3330100,,3.0385,0.5
SGP,coal-ccs,2050,2796050,,2.847,0.5
THA,coal-ccs,2023,4698450,,21.67,0.5
THA,coal-ccs,2030,4225650,,21.4533,0.5
THA,coal-ccs,2050,3378550,,20.8032,0.5
THA,coal-ccs,2023,3600400,,3.5215,0.5
THA,coal-ccs,2030,3330100,,3.0385,0.5
THA,coal-ccs,2050,2796050,,2.847,0.5
IDN,coal-unspecified,2023,1880000,51600,1.5,0.5
IDN,coal-unspecified,2030,1820000,50000,1.45,0.5
IDN,coal-unspecified,2050,1760000,48550,1.4,0.5
VNM,coal-unspecified,2023,1880000,51600,1.5,0.5
VNM,coal-unspecified,2030,1820000,50000,1.45,0.5
VNM,coal-unspecified,2050,1760000,48550,1.4,0.5
BRN,coal-unspecified,2023,1851800,,1.4775,0.5
BRN,coal-unspecified,2030,1792700,,1.42825,0.5
BRN,coal-unspecified,2050,1733600,,1.379,0.5
KHM,coal-unspecified,2023,1851800,,1.4775,0.5
KHM,coal-unspecified,2030,1792700,,1.42825,0.5
KHM,coal-unspecified,2050,1733600,,1.379,0.5
LAO,coal-unspecified,2023,1851800,,1.4775,0.5
LAO,coal-unspecified,2030,1792700,,1.42825,0.5
LAO,coal-unspecified,2050,1733600,,1.379,0.5
MMR,coal-unspecified,2023,1851800,,1.4775,0.5
MMR,coal-unspecified,2030,1792700,,1.42825,0.5
MMR,coal-unspecified,2050,1733600,,1.379,0.5
MYS,coal-unspecified,2023,1851800,,1.4775,0.5
MYS,coal-unspecified,2030,1792700,,1.42825,0.5
MYS,coal-unspecified,2050,1733600,,1.379,0.5
PHL,coal-unspecified,2023,1851800,,1.4775,0.5
PHL,coal-unspecified,2030,1792700,,1.42825,0.5
PHL,coal-unspecified,2050,1733600,,1.379,0.5
SGP,coal-unspecified,2023,1851800,,1.4775,0.5
SGP,coal-unspecified,2030,1792700,,1.42825,0.5
SGP,coal-unspecified,2050,1733600,,1.379,0.5
THA,coal-unspecified,2023,1851800,,1.4775,0.5
THA,coal-unspecified,2030,1792700,,1.42825,0.5
THA,coal-unspecified,2050,1733600,,1.379,0.5
IDN,combined-cycle,2023,1090000,26800,2.6,0.7
IDN,combined-cycle,2030,1040000,26000,2.5,0.7
IDN,combined-cycle,2050,960000,25200,2.4,0.7
VNM,combined-cycle,2023,770000,29350,0.45,0.7
VNM,combined-cycle,2030,690000,28500,0.13,0.7
VNM,combined-cycle,2050,680000,27600,0.12,0.7
BRN,combined-cycle,2023,907250,,1.443,0.7
BRN,combined-cycle,2030,840307.5,,1.2301,0.7
BRN,combined-cycle,2050,799628,,1.1784,0.7
KHM,combined-cycle,2023,907250,,1.443,0.7
KHM,combined-cycle,2030,840307.5,,1.2301,0.7
KHM,combined-cycle,2050,799628,,1.1784,0.7
LAO,combined-cycle,2023,907250,,1.443,0.7
LAO,combined-cycle,2030,840307.5,,1.2301,0.7
LAO,combined-cycle,2050,799628,,1.1784,0.7
MMR,combined-cycle,2023,907250,,1.443,0.7
MMR,combined-cycle,2030,840307.5,,1.2301,0.7
MMR,combined-cycle,2050,799628,,1.1784,0.7
MYS,combined-cycle,2023,907250,,1.443,0.7
MYS,combined-cycle,2030,840307.5,,1.2301,0.7
MYS,combined-cycle,2050,799628,,1.1784,0.7
PHL,combined-cycle,2023,907250,,1.443,0.7
PHL,combined-cycle,2030,840307.5,,1.2301,0.7
PHL,combined-cycle,2050,799628,,1.1784,0.7
SGP,combined-cycle,2023,907250,,1.443,0.7
SGP,combined-cycle,2030,840307.5,,1.2301,0.7
SGP,combined-cycle,2050,799628,,1.1784,0.7
THA,combined-cycle,2023,907250,,1.443,0.7
THA,combined-cycle,2030,840307.5,,1.2301,0.7
THA,combined-cycle,2050,799628,,1.1784,0.7
IDN,gas-ccs,2023,2390000,59000,4.96,0.7
IDN,gas-ccs,2030,2150000,50200,4.36,0.7
IDN,gas-ccs,2050,1720000,37800,3.62,0.7
VNM,gas-ccs,2023,1970000,38750,1.7,0.7
VNM,gas-ccs,2030,1700000,37500,1.34,0.7
VNM,gas-ccs,2050,1460000,36400,1.29,0.7
BRN,gas-ccs,2023,2135750,,3.1904,0.7
BRN,gas-ccs,2030,1883750,,2.7242,0.7
BRN,gas-ccs,2050,1559000,,2.3541,0.7
KHM,gas-ccs,2023,2135750,,3.1904,0.7
KHM,gas-ccs,2030,1883750,,2.7242,0.7
KHM,gas-ccs,2050,1559000,,2.3541,0.7
LAO,gas-ccs,2023,2135750,,3.1904,0.7
LAO,gas-ccs,2030,1883750,,2.7242,0.7
LAO,gas-ccs,2050,1559000,,2.3541,0.7
MMR,gas-ccs,2023,2135750,,3.1904,0.7
MMR,gas-ccs,2030,1883750,,2.7242,0.7
MMR,gas-ccs,2050,1559000,,2.3541,0.7
MYS,gas-ccs,2023,2135750,,3.1904,0.7
MYS,gas-ccs,2030,1883750,,2.7242,0.7
MYS,gas-ccs,2050,1559000,,2.3541,0.7
PHL,gas-ccs,2023,2135750,,3.1904,0.7
PHL,gas-ccs,2030,1883750,,2.7242,0.7
PHL,gas-ccs,2050,1559000,,2.3541,0.7
SGP,gas-ccs,2023,2135750,,3.1904,0.7
SGP,gas-ccs,2030,1883750,,2.7242,0.7
SGP,gas-ccs,2050,1559000,,2.3541,0.7
THA,gas-ccs,2023,2135750,,3.1904,0.7
THA,gas-ccs,2030,1883750,,2.7242,0.7
THA,gas-ccs,2050,1559000,,2.3541,0.7
IDN,geothermal-unspecified,2023,5500000,145000,0.39,0.7
IDN,geothermal-unspecified,2030,5500000,145000,0.39,0.7
IDN,geothermal-unspecified,2050,4950000,130500,0.35,0.7
IDN,geothermal-unspecified,2023,4400000,110000,0.27,0.7
IDN,geothermal-unspecified,2030,4400000,110000,0.27,0.7
IDN,geothermal-unspecified,2050,3960000,99000,0.24,0.7
VNM,geothermal-unspecified,2023,4700000,20800,0.38,0.7
VNM,geothermal-unspecified,2030,4400000,19200,0.36,0.7
VNM,geothermal-unspecified,2050,4000000,17600,0.33,0.7
VNM,geothermal-unspecified,2023,3600000,18700,0.26,0.7
VNM,geothermal-unspecified,2030,3400000,17400,0.24,0.7
VNM,geothermal-unspecified,2050,3100000,15800,0.22,0.7
BRN,geothermal-unspecified,2023,5001500,,0.37895,0.7
BRN,geothermal-unspecified,2030,4845500,,0.36855,0.7
BRN,geothermal-unspecified,2050,4381750,,0.334815,0.7
BRN,geothermal-unspecified,2023,3918000,,0.26075,0.7
BRN,geothermal-unspecified,2030,3814000,,0.25035,0.7
BRN,geothermal-unspecified,2050,3453400,,0.226,0.7
KHM,geothermal-unspecified,2023,5001500,,0.37895,0.7
KHM,geothermal-unspecified,2030,4845500,,0.36855,0.7
KHM,geothermal-unspecified,2050,4381750,,0.334815,0.7
KHM,geothermal-unspecified,2023,3918000,,0.26075,0.7
KHM,geothermal-unspecified,2030,3814000,,0.25035,0.7
KHM,geothermal-unspecified,2050,3453400,,0.226,0.7
LAO,geothermal-unspecified,2023,5001500,,0.37895,0.7
LAO,geothermal-unspecified,2030,4845500,,0.36855,0.7
LAO,geothermal-unspecified,2050,4381750,,0.334815,0.7
