seed,solution,objective_1,objective_2,cfe_score,type,SGPXX-bioenergy-unspecified,SGPXX-open-cycle-gas-turbine,SGPXX-oil-unspecified,SGPXX-photovoltaic-unspecified,SGPXX-waste,SGPXX-battery
1,1,2336311607404056.5,0.0,0.0,feasible,999344.7886175594,197691.88158234907,248140.56085888698,554714.4997687244,413219.2718522972,640484.2462861098
1,2,2391110861238966.0,0.0,0.0,feasible,816014.3395196373,893495.9431896629,955390.6984681133,522705.6632066133,22000.04331853938,655542.5201937932
1,3,846098207120281.5,0.0,0.0,feasible,17609.061469055843,830491.2793685142,806583.8443121372,475007.9464500817,241082.7612631173,230988.8610026314
1,4,2747737469340521.0,0.0,0.0,feasible,590567.7783726413,746701.4329309602,435167.6636348792,582080.431704994,994916.152888045,753539.8608827691
1,5,1262431577459648.0,0.0,0.0,feasible,867612.7798426059,449639.8296093391,5572.498625618711,78013.71007338261,401843.78354014317,345393.0086643173
1,6,1378759859157881.5,0.0,0.0,feasible,569912.9959335268,686322.2322512419,165037.00443215502,978410.6861088052,638902.5508185576,377358.8294818674
1,7,2713775040793017.0,0.0,0.0,feasible,826663.7185364349,492757.96839703416,72032.27067387204,500182.6342801105,261321.90979125816,744207.3332323169
1,8,1222807131701845.2,0.0,0.0,feasible,172253.86067638057,326917.7696997386,604714.310243455,453196.21995487454,158938.65816694335,334504.61665338394
1,9,1111247404617936.9,0.0,0.0,feasible,879182.0699389026,793208.8534332406,505798.17120251217,297607.79492905777,182576.75288189529,303849.1458223972
1,10,2823604665873017.0,0.0,0.0,feasible,38332.20059047446,883327.1220972425,148193.7567062144,990313.5024474626,880435.7155743473,774387.3897457735
1,11,2025291069638288.8,0.0,0.0,feasible,181831.71759299384,162049.36614484174,107860.75935971455,231030.19884728992,772460.5635293227,555018.9868009819
1,12,1566909110544521.0,0.0,0.0,feasible,88597.7653306547,16401.20533462177,884389.8034726918,4430.247523559187,947840.0717172709,429060.31745177717
1,13,1216202681227744.5,0.0,0.0,feasible,275452.381260858,418837.1922524566,324825.11929422914,883724.1616501671,446989.7440571225,332689.7812808376
1,14,995350365721673.6,0.0,0.0,feasible,678679.7040081307,482555.8000917944,161659.0768211958,338654.58471414563,706483.3202883997,272001.8261116751
1,15,1389516067103664.5,0.0,0.0,feasible,965400.2365277769,960214.7364496952,683037.0089004795,694508.8648338151,71694.56918514996,380314.5253010761
1,16,367411294988656.25,0.0,0.0,feasible,416000.8306172237,17232.96652096061,908962.2583732686,621995.400239705,598454.3993598839,99450.59844495263
1,17,1618520921511088.8,0.0,0.0,feasible,120833.00720001609,361323.33078366885,868132.4506971677,706206.9520794377,440896.3859600872,443242.71469294286
1,18,2952062474452180.0,0.0,0.0,feasible,784918.7007491682,355473.73440212564,748634.4784785056,891112.5152951886,471409.8158928232,809686.2803655859
1,19,3106601121497472.0,0.0,0.0,feasible,572893.8015606127,289562.6992730795,746428.6962698299,744090.4456496086,684514.2743186696,852151.918374846
1,20,1699982637677282.2,0.0,0.0,feasible,946451.9081932943,863688.0385940694,84033.30330820056,63547.641902568466,474316.00642580906,465627.5602734325
1,21,1139247754503969.8,0.0,0.0,feasible,49484.33526956241,385660.07694855577,816423.2874664796,175776.38096328254,459032.8749565339,311543.3552976776
1,22,851727347353983.4,0.0,0.0,feasible,460272.2804417268,276690.1894131457,986191.4466051846,831619.2646585123,922873.5942965002,232535.69110654504
1,23,2350567907432496.5,0.0,0.0,feasible,206489.52363201577,671645.5781174025,87399.92132324608,655168.8546008291,991835.0594816646,644401.7315749625
1,24,2550498733101845.5,0.0,0.0,feasible,132764.41893772242,350242.91539527645,772714.0874823112,138160.92307900378,169312.54178226928,699340.6755355549
1,25,506996377556948.94,0.0,0.0,feasible,441553.9268524139,384867.95516818954,53131.25002684019,599169.4909251174,47629.44045046847,137807.15003363419
1,26,212575541609760.94,0.0,0.0,feasible,182904.95366909512,932310.5968225438,927105.3072459176,498230.83379197045,783669.7326046608,56903.31865705478
1,27,347385151068932.56,0.0,0.0,feasible,328609.80542630743,554886.0116000717,516528.8091357752,884794.4561116636,984884.0209985285,93947.61912763605
1,28,1190722210327508.8,0.0,0.0,feasible,954624.9477823012,253158.4632347631,284249.38287789345,806683.9129507275,16147.928641691085,325688.0087518095
1,29,2995354446185837.0,0.0,0.0,feasible,654712.0118302862,447153.55407424667,562622.8820531054,70090.10789789223,182822.77381319014,821582.4709657909
1,30,1287978430285071.5,0.0,0.0,feasible,70407.27723291494,324699.00204422825,654595.5206197761,32019.735240392278,735477.9438959874,352413.02226675506
1,31,2165903722920987.5,0.0,0.0,feasible,641163.5505719894,874483.5898139806,787136.5453696724,874868.4355901295,350585.6861613575,593657.9043014997
1,32,1018722321605750.8,0.0,0.0,feasible,402304.41195773677,202127.8188354487,397550.5953033701,871942.4277895001,595191.7839232805,278424.2003016778
1,33,2270711194276107.5,0.0,0.0,feasible,823227.8837028068,171946.5624391951,655909.5203173042,514883.7186057775,113209.81620484733,622457.9243892127
1,34,400868216291972.1,0.0,0.0,feasible,690316.7756419422,32275.856263975995,992692.1347189498,959415.4288496743,335548.6150377794,108644.21788019019
1,35,1222751632578911.5,0.0,0.0,feasible,885133.48443193,231763.49103420996,988680.8418676206,865989.1361961027,915229.8282320433,334489.36606261326
1,36,1410803080225897.2,0.0,0.0,feasible,793029.947407718,252173.03105932273,689208.8051596881,930091.8131428605,837427.2264628888,386163.97856620123
1,37,380336624176767.6,0.0,0.0,feasible,671597.4124331772,760434.5554163177,470638.6348834199,210135.98326191228,57373.53869966052,103002.34657363915
1,38,1711865097290431.5,0.0,0.0,feasible,539317.3774125698,985240.2861421538,924284.1629401435,886196.5960318003,788444.0797961212,468892.7385200349
1,39,2577937591694750.0,0.0,0.0,feasible,218937.13883133998,932847.0178628516,854341.6110729019,22145.51359275863,202629.1979569567,706880.592952148
1,40,2116405412889858.2,0.0,0.0,feasible,659829.8469861066,216329.2441108122,176282.89527406267,463077.96878047317,42180.92111598361,580056.2754789307
1,41,2801886835135126.0,0.0,0.0,feasible,187665.7182167951,16483.397772050725,448073.48742875934,945290.1374053573,836975.9177682704,768419.5522106658
