seed,solution,objective_1,objective_2,type
2,33,131648318002597.34,0.0,feasible
2,34,3577120009075735.5,0.0,feasible
2,35,535810176427121.2,0.0,feasible
2,36,1409033780978622.5,0.0,feasible
2,37,833459997338475.8,0.0,feasible
2,38,513314264816766.1,0.0,feasible
2,39,3038251383864029.5,0.0,feasible
2,40,1679115765273436.2,0.0,feasible
2,41,1831779513256228.2,0.0,feasible
2,42,303987747291945.75,0.0,feasible
2,43,2873718329709453.5,0.0,feasible
2,44,2408451795301231.0,0.0,feasible
2,45,1865536474631676.5,0.0,feasible
2,46,629321393609768.4,0.0,feasible
2,47,2351260515895902.5,0.0,feasible
2,48,325129007934507.44,0.0,feasible
2,49,2463739272441623.5,0.0,feasible
2,50,592103635672289.4,0.0,feasible
2,51,1133938497870706.2,0.0,feasible
2,52,2661721479887302.5,0.0,feasible
2,53,2753765429689270.5,0.0,feasible
2,54,1185305305866613.0,0.0,feasible
2,55,1254452580467010.2,0.0,feasible
2,56,1863386252591716.5,0.0,feasible
2,57,3538055914835334.5,0.0,feasible
2,58,1372208993420466.8,0.0,feasible
2,59,3215070433779530.0,0.0,feasible
2,60,998331667783512.5,0.0,feasible
2,61,1041769570324726.4,0.0,feasible
2,62,882611936567065.5,0.0,feasible
2,63,3265989037212428.5,0.0,feasible
2,64,2750231762263135.0,0.0,feasible
2,65,3495968892106378.5,0.0,feasible
2,66,832873419120827.6,0.0,feasible
2,67,3227481536311922.5,0.0,feasible
2,68,1607668141082983.5,0.0,feasible
2,69,1547928256098817.8,0.0,feasible
2,70,1780503013255492.5,0.0,feasible
2,71,3103404702864034.5,0.0,feasible
2,72,3096865858277976.0,0.0,feasible
2,73,842103891259845.5,0.0,feasible
2,74,1231297695037232.0,0.0,feasible
2,75,2042791064345674.0,0.0,feasible
2,76,7968626982527.09,10093795.94292072,non-dominated
2,77,1175447896114430.8,0.0,feasible
2,78,476977831362634.1,0.0,feasible
2,79,1346050276895635.5,0.0,feasible
2,80,538656812723119.75,0.0,feasible
2,81,1696125201451061.5,0.0,feasible
2,82,501459054823913.7,0.0,feasible
2,83,3147528279554663.0,0.0,feasible
2,84,1433623159120727.0,0.0,feasible
2,85,2550243418641148.0,0.0,feasible
2,86,2683092226970884.0,0.0,feasible
2,87,3627957412979535.5,0.0,feasible
2,88,2626854355301551.5,0.0,feasible
2,89,8495786459556.336,9840007.821212664,non-dominated
2,90,3071237965632302.0,0.0,feasible
2,91,1623693357829274.5,0.0,feasible
2,92,734538541609425.6,0.0,feasible
2,93,2709842725015714.0,0.0,feasible
2,94,95005945473255.6,0.0,non-dominated
2,95,103911228979003.03,0.0,feasible
2,96,3485898400066054.5,0.0,feasible
2,97,1066842709366155.8,0.0,feasible
2,98,1384220514202321.8,0.0,feasible
2,99,2286929993677950.0,0.0,feasible
2,100,876833585330637.5,0.0,feasible
