Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,emission_activity_ratio,opex_fixed
gas-hydrogen-cofiring:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-hydrogen-cofiring,0,0,FALSE,,,0,1,0,,,0,1,gas-hydrogen-cofiring,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.1584,79141.06703
gas-hydrogen-cofiring:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,gas-hydrogen-cofiring,0,0,FALSE,,,0,1,0,,,0,1,gas-hydrogen-cofiring,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.1584,79141.06703
coal-subcritical:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,coal-subcritical,534,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,coal-subcritical,345,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,coal-subcritical,133,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,coal-subcritical,101,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,coal-subcritical,158,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,coal-subcritical,403,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,coal-subcritical,307,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-subcritical:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,coal-subcritical,1045,0,FALSE,,,0,1,0,,,0,1,coal-subcritical,99.58,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,coal-supercritical,440,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,coal-supercritical,1456,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,coal-supercritical,2906,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,coal-supercritical,2027,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,coal-supercritical,988,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,coal-supercritical,1500,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,coal-supercritical,1047,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,coal-supercritical,1810,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
coal-supercritical:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,coal-supercritical,1684,0,FALSE,,,0,1,0,,,0,1,coal-supercritical,88.11,0,TRUE,2040,40,188003.6418,0.434782609,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,,0.36,93365.23973
gas-advanced-combined-cycle:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-advanced-combined-cycle,158,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-advanced-combined-cycle:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,gas-advanced-combined-cycle,3698,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-advanced-combined-cycle:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-advanced-combined-cycle,2295,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-advanced-combined-cycle:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-advanced-combined-cycle,453,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-advanced-combined-cycle:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,gas-advanced-combined-cycle,141,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-advanced-combined-cycle:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,gas-advanced-combined-cycle,260,0,FALSE,,,0,1,0,,,0,1,gas-advanced-combined-cycle,88.98,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-combined-cycle,386,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,gas-combined-cycle,964,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-combined-cycle,706,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-combined-cycle,123,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,gas-combined-cycle,100,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-combined-cycle:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,gas-combined-cycle,745,0,FALSE,,,0,1,0,,,0,1,gas-combined-cycle,104.26,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,gas-conventional,34,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-conventional,283,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,gas-conventional,1506,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-conventional,578,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,gas-conventional,185,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-conventional,849,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,gas-conventional,98,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,gas-conventional,304,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-conventional:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,gas-conventional,453,0,FALSE,,,0,1,0,,,0,1,gas-conventional,121.53,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,gas-more-advanced-combined-cycle,217,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-more-advanced-combined-cycle,1039,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,gas-more-advanced-combined-cycle,6022,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-more-advanced-combined-cycle,2625,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,gas-more-advanced-combined-cycle,159,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-more-advanced-combined-cycle,2092,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,gas-more-advanced-combined-cycle,364,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
gas-more-advanced-combined-cycle:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,gas-more-advanced-combined-cycle,400,0,FALSE,,,0,1,0,,,0,1,gas-more-advanced-combined-cycle,86.49,0,TRUE,2040,40,172791.3297,0.549450549,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,,0.198,79141.06703
