,TWN-PumpedHydro
860,1950.010752688172
861,2702.005376344086
862,3417.1505376344085
863,4083.2150537634407
864,1624.7365591397843
865,2012.8548387096769
866,2649.0161290322576
867,3547.827956989247
868,5077.559139784946
869,6114.715053763441
870,6599.435483870968
871,6692.553763440861
872,6365.822580645161
873,5720.908602150537
874,4825.268817204302
875,3897.97311827957
876,2954.2365591397847
877,2035.6505376344085
878,1180.6774193548388
879,457.1881720430108
880,0.0
881,16.822580645161224
882,493.26881720430106
883,1195.97311827957
884,1950.010752688172
885,2702.005376344086
886,3417.1505376344085
887,4083.2150537634407
888,1624.7365591397843
889,2012.8548387096769
890,2649.0161290322576
891,3547.827956989247
892,5077.559139784946
893,6114.715053763441
894,6599.435483870968
895,6692.553763440861
896,6365.822580645161
897,5720.908602150537
898,4825.268817204302
899,3897.97311827957
900,2954.2365591397847
901,2035.6505376344085
902,1180.6774193548388
903,457.1881720430108
904,0.0
905,16.822580645161224
906,493.26881720430106
907,1195.97311827957
908,1950.010752688172
909,2702.005376344086
910,3417.1505376344085
911,4083.2150537634407
912,1624.7365591397843
913,2012.8548387096769
914,2649.0161290322576
915,3547.827956989247
916,5077.559139784946
917,6114.715053763441
918,6599.435483870968
919,6692.553763440861
920,6365.822580645161
921,5720.908602150537
922,4825.268817204302
923,3897.97311827957
924,2954.2365591397847
925,2035.6505376344085
926,1180.6774193548388
927,457.1881720430108
928,0.0
929,16.822580645161224
930,493.26881720430106
931,1195.97311827957
932,1950.010752688172
933,2702.005376344086
934,3417.1505376344085
935,4083.2150537634407
936,1624.7365591397843
937,2012.8548387096769
938,2649.0161290322576
939,3547.827956989247
940,5077.559139784946
941,6114.715053763441
942,6599.435483870968
943,6692.553763440861
944,6365.822580645161
945,5720.908602150537
946,4825.268817204302
947,3897.97311827957
948,2954.2365591397847
949,2035.6505376344085
950,1180.6774193548388
951,457.1881720430108
952,0.0
953,16.822580645161224
954,493.26881720430106
955,1195.97311827957
956,1950.010752688172
957,2702.005376344086
958,3417.1505376344085
959,4083.2150537634407
960,1624.7365591397843
961,2012.8548387096769
962,2649.0161290322576
963,3547.827956989247
964,5077.559139784946
965,6114.715053763441
966,6599.435483870968
967,6692.553763440861
968,6365.822580645161
969,5720.908602150537
970,4825.268817204302
971,3897.97311827957
972,2954.2365591397847
973,2035.6505376344085
974,1180.6774193548388
975,457.1881720430108
976,0.0
977,16.822580645161224
978,493.26881720430106
979,1195.97311827957
980,1950.010752688172
981,2702.005376344086
982,3417.1505376344085
983,4083.2150537634407
984,1624.7365591397843
985,2012.8548387096769
986,2649.0161290322576
987,3547.827956989247
988,5077.559139784946
989,6114.715053763441
990,6599.435483870968
991,6692.553763440861
992,6365.822580645161
993,5720.908602150537
994,4825.268817204302
995,3897.97311827957
996,2954.2365591397847
997,2035.6505376344085
998,1180.6774193548388
999,457.1881720430108
1000,0.0
1001,16.822580645161224
1002,493.26881720430106
1003,1195.97311827957
1004,1950.010752688172
1005,2702.005376344086
1006,3417.1505376344085
1007,4083.2150537634407
1008,1624.7365591397843
1009,2012.8548387096769
1010,2649.0161290322576
1011,3547.827956989247
1012,5077.559139784946
1013,6114.715053763441
1014,6599.435483870968
