,Bio-power-Bagasse-EA,Bio-power-Bagasse-NE,Bio-power-Bagasse-NO,Bio-power-Bagasse-SO,Bio-power-Bagasse-WE,Bio-power-Non-bagasse-EA,Bio-power-Non-bagasse-NE,Bio-power-Non-bagasse-NO,Bio-power-Non-bagasse-SO,Bio-power-Non-bagasse-WE,Bio-power-Waste-to-energy-EA,Bio-power-Waste-to-energy-NE,Bio-power-Waste-to-energy-NO,Bio-power-Waste-to-energy-SO,Bio-power-Waste-to-energy-WE,Bio-power-Waste-to-energy-off-grid-EA,Bio-power-Waste-to-energy-off-grid-NE,Bio-power-Waste-to-energy-off-grid-NO,Bio-power-Waste-to-energy-off-grid-SO,Bio-power-Waste-to-energy-off-grid-WE,Coal-EA,Coal-NE,Coal-NO,Coal-SO,Coal-WE,Hydro-EA,Hydro-NE,Hydro-NO,Hydro-SO,Hydro-WE,Nuclear-EA,Nuclear-NE,Nuclear-NO,Nuclear-SO,Nuclear-WE,Oil-Gas-EA,Oil-Gas-NE,Oil-Gas-NO,Oil-Gas-SO,Oil-Gas-WE,Small-Hydro-EA,Small-Hydro-NE,Small-Hydro-NO,Small-Hydro-SO,Small-Hydro-WE,Solar-GroundMounted-EA,Solar-GroundMounted-NE,Solar-GroundMounted-NO,Solar-GroundMounted-SO,Solar-GroundMounted-WE,Solar-Hybrid-solar-EA,Solar-Hybrid-solar-NO,Solar-Hybrid-solar-SO,Solar-Hybrid-solar-WE,Solar-Off-grid-EA,Solar-Off-grid-NE,Solar-Off-grid-NO,Solar-Off-grid-SO,Solar-Off-grid-WE,Solar-Roof-top-EA,Solar-Roof-top-NE,Solar-Roof-top-NO,Solar-Roof-top-SO,Solar-Roof-top-WE,Wind-EA,Wind-NE,Wind-NO,Wind-SO,Wind-WE
10,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.45485,0.38913333333333333,0.2673,0.5245200000000001,0.422525,0.45485,0.2673,0.5245200000000001,0.422525,0.45485,0.38913333333333333,0.2673,0.5245200000000001,0.422525,0.45485,0.38913333333333333,0.2673,0.5245200000000001,0.422525,0.5,0.5,0.0907,0.28374,0.055366667
11,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.56595,0.4305999999999999,0.38044285714285714,0.66354,0.5684750000000001,0.56595,0.38044285714285714,0.66354,0.5684750000000001,0.56595,0.4305999999999999,0.38044285714285714,0.66354,0.5684750000000001,0.56595,0.4305999999999999,0.38044285714285714,0.66354,0.5684750000000001,0.5,0.5,0.0148,0.256,0.0439
12,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.59655,0.45120000000000005,0.4638285714285714,0.7468999999999999,0.661475,0.59655,0.4638285714285714,0.7468999999999999,0.661475,0.59655,0.45120000000000005,0.4638285714285714,0.7468999999999999,0.661475,0.59655,0.45120000000000005,0.4638285714285714,0.7468999999999999,0.661475,0.5,0.5,0.0321,0.18988,0.021333333333333333
13,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.565625,0.4417,0.4903142857142857,0.76592,0.692725,0.565625,0.4903142857142857,0.76592,0.692725,0.565625,0.4417,0.4903142857142857,0.76592,0.692725,0.565625,0.4417,0.4903142857142857,0.76592,0.692725,0.5,0.5,0.0219,0.11474,0.011833333333333335
14,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.49505,0.3926,0.4423285714285714,0.7232200000000001,0.6584749999999999,0.49505,0.4423285714285714,0.7232200000000001,0.6584749999999999,0.49505,0.3926,0.4423285714285714,0.7232200000000001,0.6584749999999999,0.49505,0.3926,0.4423285714285714,0.7232200000000001,0.6584749999999999,0.5,0.5,0.0095,0.06154,0.011099999999999999
15,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.37165,0.3072,0.3478857142857143,0.61642,0.56375,0.37165,0.3478857142857143,0.61642,0.56375,0.37165,0.3072,0.3478857142857143,0.61642,0.56375,0.37165,0.3072,0.3478857142857143,0.61642,0.56375,0.5,0.5,0.01,0.03862,0.015566666666666666
16,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.216175,0.17699999999999996,0.22144285714285714,0.45868000000000003,0.41645,0.216175,0.22144285714285714,0.45868000000000003,0.41645,0.216175,0.17699999999999996,0.22144285714285714,0.45868000000000003,0.41645,0.216175,0.17699999999999996,0.22144285714285714,0.45868000000000003,0.41645,0.5,0.5,0.0166,0.03454,0.020533333333333334
17,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.07945,0.022000000000000002,0.098042857,0.26932,0.23609999999999998,0.07945,0.098042857,0.26932,0.23609999999999998,0.07945,0.022000000000000002,0.098042857,0.26932,0.23609999999999998,0.07945,0.022000000000000002,0.098042857,0.26932,0.23609999999999998,0.5,0.5,0.0371,0.043359999999999996,0.030766666666666664
18,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.0069,0.000133333,0.016514285714285714,0.09096,0.071675,0.0069,0.016514285714285714,0.09096,0.071675,0.0069,0.000133333,0.016514285714285714,0.09096,0.071675,0.0069,0.000133333,0.016514285714285714,0.09096,0.071675,0.5,0.5,0.1202,0.09914,0.0755
19,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0.000328571,0.00456,0.003525,0,0.000328571,0.00456,0.003525,0,0,0.000328571,0.00456,0.003525,0,0,0.000328571,0.00456,0.003525,0.5,0.5,0.2531,0.23388,0.131
